시	군/구	동	단지명	전용면적(㎡)	계약년	계약월	계약일	거래금액(만원)	층	건축년도
서울특별시	강남구	개포동	개포2차현대아파트(220)	77.75	2021	4	15	174000	9	1988
서울특별시	강남구	개포동	개포6차우성아파트1동~8동	79.97	2021	5	15	195000	5	1987
서울특별시	강남구	개포동	개포6차우성아파트1동~8동	79.97	2021	8	11	200000	3	1987
서울특별시	강남구	개포동	개포6차우성아파트1동~8동	79.97	2021	9	2	220000	2	1987
서울특별시	강남구	개포동	개포6차우성아파트1동~8동	79.97	2021	12	4	215000	3	1987
서울특별시	강남구	개포동	개포래미안포레스트	74.66	2021	1	17	245000	7	2020
서울특별시	강남구	개포동	개포래미안포레스트	49.92	2021	5	22	180000	7	2020
서울특별시	강남구	개포동	개포래미안포레스트	59.92	2021	5	22	198500	18	2020
서울특별시	강남구	개포동	개포래미안포레스트	59.92	2021	5	31	205000	5	2020
서울특별시	강남구	개포동	개포래미안포레스트	59.92	2021	6	13	210000	5	2020
서울특별시	강남구	개포동	개포래미안포레스트	59.92	2021	6	13	210000	5	2020
서울특별시	강남구	개포동	개포래미안포레스트	49.92	2021	6	15	185000	6	2020
서울특별시	강남구	개포동	개포래미안포레스트	74.66	2021	8	17	250000	11	2020
서울특별시	강남구	개포동	개포래미안포레스트	59.92	2021	8	21	199500	6	2020
서울특별시	강남구	개포동	개포래미안포레스트	84.86	2021	8	25	285000	24	2020
서울특별시	강남구	개포동	개포래미안포레스트	84.86	2021	8	31	275000	5	2020
서울특별시	강남구	개포동	개포래미안포레스트	96.91	2021	9	4	310000	7	2020
서울특별시	강남구	개포동	개포래미안포레스트	84.86	2021	9	8	278000	4	2020
서울특별시	강남구	개포동	개포래미안포레스트	74.66	2021	9	16	253000	2	2020
서울특별시	강남구	개포동	개포래미안포레스트	59.92	2021	9	17	210000	8	2020
서울특별시	강남구	개포동	개포래미안포레스트	84.83	2021	9	24	297000	7	2020
서울특별시	강남구	개포동	개포래미안포레스트	84.86	2021	9	28	272000	3	2020
서울특별시	강남구	개포동	개포래미안포레스트	59.92	2021	10	9	224900	9	2020
서울특별시	강남구	개포동	개포래미안포레스트	49.92	2021	10	13	185000	5	2020
서울특별시	강남구	개포동	개포래미안포레스트	59.92	2021	10	20	220000	15	2020
서울특별시	강남구	개포동	개포우성3차	104.43	2021	1	5	220000	3	1984
서울특별시	강남구	개포동	개포우성3차	104.43	2021	1	5	220000	3	1984
서울특별시	강남구	개포동	개포우성3차	104.43	2021	1	11	220000	8	1984
서울특별시	강남구	개포동	개포우성3차	104.43	2021	1	25	145000	6	1984
서울특별시	강남구	개포동	개포우성3차	104.43	2021	2	9	145000	6	1984
서울특별시	강남구	개포동	개포우성3차	161	2021	4	13	323000	3	1984
서울특별시	강남구	개포동	개포우성3차	104.43	2021	4	30	225000	14	1984
서울특별시	강남구	개포동	개포우성3차	133.46	2021	5	4	289000	4	1984
서울특별시	강남구	개포동	개포우성3차	161	2021	6	14	365000	10	1984
