"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 주택거래신고 1588-0149/주택임대차신고 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20220101 ~ 20220430"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일","거래유형","중개사소재지"
"서울특별시 강남구 개포동","1282","1282","0000","개포래미안포레스트","102.32","202204","1","369,000","13","2020","개포로 264","","중개거래","서울 강남구, 서울 양천구"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이(12-2)","168.42","202202","7","246,000","2","2004","개포로109길 69","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","185","0185","0000","개포주공6단지","73.02","202203","18","270,000","5","1983","개포로 516","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","185","0185","0000","개포주공7단지","53.46","202203","17","211,500","4","1983","개포로 516","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","185","0185","0000","개포주공7단지","73.26","202203","18","265,000","6","1983","개포로 516","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","649","0649","0000","경남1","123.28","202203","8","343,000","4","1984","언주로 110","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1167","1167","0000","그린빌리지","197.91","202202","11","180,000","4","1996","논현로4길 28","","중개거래","서울 서초구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","131.3226","202202","22","590,000","8","2019","삼성로 11","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","138","0138","0000","디에이치아너힐즈","76.1709","202204","8","305,000","23","2019","삼성로 11","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","1280","1280","0000","래미안블레스티지","84.943","202201","15","300,000","7","2019","선릉로 8","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","삼익대청아파트","51.12","202203","26","157,000","2","1992","개포로109길 21","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202201","8","125,000","7","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202201","11","120,000","5","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202201","25","120,000","8","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202203","18","118,000","7","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","33.18","202203","27","120,000","12","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","12","0012","0000","성원대치2단지아파트","39.53","202204","7","145,000","8","1992","개포로109길 9","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","653","0653","0000","현대1차101동~106동","95.4","202201","5","275,000","2","1984","개포로 303","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","654","0654","0000","현대2","84.81","202201","15","272,000","8","1986","언주로 107","","중개거래","서울 강남구"
"서울특별시 강남구 개포동","654","0654","0000","현대2","84.81","202203","30","265,000","7","1986","언주로 107","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","195-1","0195","0001","e-편한세상","129.8748","202204","5","192,000","10","2005","봉은사로11길 12","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","196","0196","0000","거평프리젠","32.835","202201","15","40,000","6","1996","강남대로112길 41","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","268-12","0268","0012","그랑디오스","132.96","202201","8","159,140","5","2004","봉은사로51길 18","20220111","직거래","-"
"서울특별시 강남구 논현동","268-12","0268","0012","그랑디오스","132.96","202201","8","159,140","5","2004","봉은사로51길 18","","직거래","-"
"서울특별시 강남구 논현동","225-6","0225","0006","논현아이파크","47.46","202202","23","100,000","7","2020","언주로 615","20220320","중개거래","서울 동대문구"
"서울특별시 강남구 논현동","275","0275","0000","동부센트레빌","84.9875","202204","26","198,000","19","2003","언주로116길 6","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","245","0245","0000","동양파라곤","157.41","202201","18","320,000","7","2004","언주로130길 30","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","245","0245","0000","동양파라곤","160.33","202203","21","333,000","14","2004","언주로130길 30","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","245","0245","0000","동양파라곤","180.07","202204","22","224,000","11","2004","언주로130길 30","","직거래","-"
"서울특별시 강남구 논현동","105","0105","0000","동현아파트1~6","84.92","202202","18","227,500","10","1985","언주로146길 18","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","105","0105","0000","동현아파트1~6","120.58","202203","31","273,000","8","1985","언주로146길 18","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202201","26","37,000","4","2004","학동로 165","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202201","27","42,000","14","2004","학동로 165","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202202","19","39,000","9","2004","학동로 165","","중개거래","서울 중구"
"서울특별시 강남구 논현동","58-2","0058","0002","마일스디오빌","36.29","202203","30","40,900","14","2004","학동로 165","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","47-11","0047","0011","벨러스빌","86.51","202202","14","65,000","5","2004","학동로5길 17","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","114.34","202202","4","229,000","10","1997","강남대로146길 28","","중개거래","서울 강남구, 서울 송파구"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","84.52","202203","19","180,000","6","1997","강남대로146길 28","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","22","0022","0000","신동아(22)","35.73","202204","4","95,000","3","1997","강남대로146길 28","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","276-1","0276","0001","아크로힐스논현","84.208","202202","24","210,000","4","2014","언주로 604","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","194-22","0194","0022","이산","46.06","202203","2","31,000","3","2011","논현로111길 34","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","108-2","0108","0002","제이빌","52.54","202204","11","71,000","1","2004","학동로43길 30","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","211-21","0211","0021","펜트힐루논현","43.392","202204","15","110,000","7","2021","언주로 641","","중개거래","서울 강남구"
"서울특별시 강남구 논현동","211-21","0211","0021","펜트힐루논현","42.257","202204","15","105,000","8","2021","언주로 641","","직거래","-"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","158.54","202203","19","510,000","12","1983","선릉로 120","","중개거래","서울 강남구, 서울 송파구"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","127.61","202203","24","375,000","1","1983","선릉로 120","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","503","0503","0000","개포우성1","127.61","202203","30","409,000","11","1983","선릉로 120","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","51.026","202201","12","54,500","10","2003","삼성로85길 42","20220121","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","51.026","202202","15","54,500","10","2003","삼성로85길 42","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","35.236","202202","18","34,000","7","2003","삼성로85길 42","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-26","0891","0026","대우아이빌멤버스(891-26)","46.877","202203","29","50,000","11","2003","삼성로85길 42","","중개거래","서울 강남구, 서울 중구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","35.72","202201","13","29,000","7","2004","선릉로90길 56","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","35.72","202202","8","29,000","8","2004","선릉로90길 56","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","34.2","202202","11","30,750","8","2004","선릉로90길 56","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","891-23","0891","0023","대우아이빌명문가(891-23)","35.72","202204","21","33,300","10","2004","선릉로90길 56","","직거래","-"
"서울특별시 강남구 대치동","891-28","0891","0028","대치동우정에쉐르1","59.96","202204","8","92,000","9","2004","삼성로85길 38","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","888","0888","0000","대치아이파크","119.58","202203","29","400,000","20","2008","선릉로 222","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","670","0670","0000","동부센트레빌","145.83","202201","7","425,000","21","2005","선릉로 206","","중개거래","서울 강남구"
"서울특별시 강남구 대치동","670","0670","0000","동부센트레빌","161.47","202202","14","505,000","5","2005","선릉로 206","","중개거래","서울 강남구"
