시점	전체직종	일반공사직종	광전자직종	문화재직종	원자력직종	기타직종
1991.1/2	39383	37209	0	0	57285	38683
1991.2/2	44422	42391	51170	0	57413	46612
1992.1/2	46553	43612	60908	73369	42535	49728
1992.2/2	48103	45258	68032	65605	43444	55502
1993.1/2	50008	47780	72561	74979	42851	47001
1993.2/2	51391	48610	64376	83819	43483	51008
1994.1/2	54136	51811	67172	75587	52694	51857
1994.2/2	54981	51702	66945	85216	55473	50776
1995.1/2	60178	56604	68429	90359	64616	55449
1995.2/2	60496	56479	82154	90359	63464	59111
1996.1/2	65849	62106	84958	103264	65393	60412
1996.2/2	68880	63784	95788	99000	80236	65389
1997.1/2	70847	65886	97858	101580	81213	66625
1997.2/2	73747	69227	101291	104650	81416	68700
1998.1/2	73975	69053	100459	99059	89606	69948
1998.2/2	71458	64775	95268	101316	85023	71461
1999.1/2	70179	63608	89092	104196	82570	69868
1999.2/2	70730	64306	90283	102509	83396	70543
2000.1/2	71137	64449	90442	106140	83241	71270
2000.2/2	72400	65541	90928	102855	87876	74847
2001.1/2	72485	65871	90933	101977	87888	73274
2001.2/2	73559	67236	92729	99382	90049	72890
2002.1/2	75874	69615	95320	101713	92079	74716
2002.2/2	82197	76040	107501	108667	94878	81496
2003.1/2	88600	82752	113957	115713	98667	88202
2003.2/2	90037	84143	115249	117988	100311	89513
2004.1/2	91649	85894	118296	118524	101137	90547
2004.2/2	92790	87150	120045	119383	101922	91543
2005.1/2	92951	87197	120269	118897	103396	91415
2005.2/2	93325	87468	121063	118135	105029	91877
2006.1/2	96343	89999	124115	118242	112571	95432
2006.2/2	98155	91305	124646	119629	118153	97818
2007.1/2	99802	92743	126166	120606	122134	98530
2007.2/2	102291	94679	130523	124197	126977	100574
2008.1/2	105424	97471	137756	125710	132573	102386
2008.2/2	109330	101523	144056	131492	134111	104740
2009.1/2	112079	104424	149909	133282	134825	108566
2009.2/2	111897	104427	153140	129920	134140	108805
2010.1/2	119717	114847	165652	137030	147659	117682
2010.2/2	123031	118090	174848	138670	152852	121205
2011.1/2	124746	120031	176985	138912	151994	123801
2011.2/2	129029	123735	185429	144563	159211	129806
2012.1/2	132576	126684	191119	149495	165930	136032
2012.2/2	138571	132168	204110	156713	175792	141355
2013.1/2	141724	134901	206053	162750	179988	144950
2013.2/2	148380	140833	211106	172081	198225	150490
2014.1/2	150664	142586	213715	176705	206068	152362
2014.2/2	155796	147352	220954	184513	205402	160079
2015.1/2	158590	149959	225312	190064	202459	163185
2015.2/2	163339	154343	228408	197308	211249	166795
2016.1/2	168571	159184	240606	204251	209359	175270
2016.2/2	175071	165389	254913	208944	216386	185041
2017.1/2	179690	169999	262656	213706	214801	191745
2017.2/2	186026	175804	273471	221051	222305	200653
2018.1/2	193770	181134	282575	230322	222895	209344
2018.2/2	203332	190702	305604	237460	224152	224043
2019.1/2	210195	197897	316642	244131	219314	231976
2019.2/2	216770	203891	330433	252022	220229	242858
2020.1/2	222803	209168	335522	262914	224686	247534
2020.2/2	226947	215178	348564	264191	222691	231739
2021.1/2	230798	219213	348470	268825	224194	234726
2021.2/2	235815	223499	357168	276915	229990	239470
2022.1/2	242931	231044	365485	283907	230632	245273
